FULL NAME,TEAM,POS,AGE,GP,MPG,ORTG,DRTG,USG%,TO%,3PA,3P%,FTA,FT%,eFG%,TS%,MPG,PPG,RPG,APG,VI,,
Emeka Okafor,Nor,C,27,82,0,109.8,107,17.2,0.125,0,0,274,0.562,0.531,0.548,28.7,10.4,9,0.7,5.7,,
Etan Thomas,Okc,C,31,23,59,89.1,104.8,13.6,0.188,0,0,22,0.591,0.456,0.483,13.8,3.3,2.8,0,0,,
Earl Watson,Ind,PG,30,79,3,100.8,109.1,14.5,0.226,184,0.288,169,0.71,0.476,0.517,29.2,7.8,3.1,5.1,7.7,,
Francisco Garcia,Sac,SG,29,25,57,111.2,112.3,16.1,0.103,59,0.39,17,0.882,0.531,0.55,22.8,8.1,2.6,1.8,4.7,,
Fabricio Oberto,Was,C,34,57,25,105.8,112,7.1,0.362,0,0,17,0.765,0.625,0.654,11.2,1.5,1.8,0.9,2.6,,
Gilbert Arenas,Was,PG,28,32,50,103.2,111,32.5,0.142,181,0.348,207,0.739,0.462,0.511,36.3,22.6,4.2,7.2,10.3,,
Glen Davis,Bos,PF,24,54,28,103.8,106.4,19.6,0.135,4,0,138,0.696,0.437,0.5,17.1,6.3,3.8,0.6,3.4,,
Goran Dragic,Pho,PG,23,80,2,109.6,111.9,20.8,0.183,188,0.394,159,0.736,0.527,0.566,17.8,7.9,2.1,3,4.8,,
Gerald Henderson,Cha,SG,22,43,39,96,102.5,18.6,0.101,19,0.211,47,0.745,0.375,0.453,8.1,2.6,1.3,0.3,1.5,,
George Hill,San,PG,23,79,3,115.5,106.6,19.3,0.106,191,0.398,240,0.775,0.53,0.574,29.1,12.4,2.7,2.9,6.1,,
Grant Hill,Pho,SF,37,80,2,113.4,110.3,16.5,0.119,76,0.434,248,0.815,0.5,0.558,29.8,11.2,5.5,2.4,7.3,,
Greg Oden,Por,C,22,21,61,118.1,99.9,21.2,0.178,0,0,64,0.766,0.605,0.647,23.7,11.1,8.5,0.9,5.7,,
Garrett Temple,San,SG,23,13,69,103.8,105.8,20.4,0.131,23,0.435,21,0.667,0.516,0.546,14.7,6.2,1.1,0.9,2.4,,
Gerald Wallace,Cha,SF,27,76,6,113.4,98.8,20.4,0.131,140,0.371,544,0.776,0.511,0.586,40.9,18.2,10,2.1,9.5,,
Hilton Armstrong,Nor,C,25,18,64,89.1,107.7,14.6,0.173,0,0,28,0.464,0.38,0.409,13.1,2.8,3.4,0.9,3.4,,
Hasheem Thabeet,Mem,C,22,68,14,111.3,104.9,11.2,0.2,0,0,93,0.581,0.588,0.605,12.8,3.1,3.6,0.2,2.1,,
Hedo Turkoglu,Tor,SF,30,74,8,109.3,113.8,17.9,0.139,289,0.374,226,0.774,0.49,0.54,30.5,11.3,4.6,4.1,8.3,,
Hakim Warrick,Chi,PF,27,28,54,114,108.5,20.5,0.096,1,0,102,0.755,0.483,0.56,18.9,8.7,3.6,0.6,3.4,,
Hakim Warrick,Mil,PF,27,48,34,107.8,107.1,23.5,0.112,6,0.167,172,0.727,0.483,0.54,21.2,10.2,4.4,0.7,4,,
Ime Udoka,Sac,SG,32,69,13,99.8,109.9,14.7,0.131,91,0.286,57,0.737,0.432,0.47,13.5,3.6,2.8,0.8,3.1,,
Joel Anthony,Mia,C,27,80,2,112,104.1,8.8,0.184,0,0,92,0.717,0.478,0.546,16.3,2.7,3.1,0.2,2.2,,
Jose Barea,Dal,PG,25,78,4,104.7,110.2,19.8,0.153,157,0.357,90,0.844,0.493,0.526,19.6,7.6,1.9,3.3,5,,
Jerryd Bayless,Por,PG,21,74,8,107.9,110.1,25.6,0.138,92,0.315,242,0.831,0.444,0.534,17.4,8.5,1.6,2.3,4,,
